method,x,approx,exact,abs_error,rel_error
RungeKutta4,1.1600000000000008,0.67902460537331311,0.67902460537923648,5.9233729032825977E-12,8.7233553193938454E-12
RungeKutta4,1.1700000000000008,0.67778920490261418,0.67778920490851768,5.9034999111418074E-12,8.7099349892862803E-12
RungeKutta4,1.1800000000000008,0.67655882107375742,0.67655882107964094,5.8835158966985546E-12,8.6962370653314457E-12
RungeKutta4,1.1900000000000008,0.67533338932997289,0.67533338933583609,5.8631988153479142E-12,8.6819323729351578E-12
RungeKutta4,1.2000000000000008,0.67411284753787759,0.67411284754372025,5.8426596893923488E-12,8.6671834111039645E-12
RungeKutta4,1.2100000000000009,0.67289713587523481,0.67289713588105671,5.8218985188318584E-12,8.6519888530352212E-12
RungeKutta4,1.2200000000000009,0.67168619672405083,0.67168619672985175,5.8009153036664429E-12,8.6363473478518363E-12
RungeKutta4,1.2300000000000009,0.67047997456874686,0.67047997457452646,5.7795990215936399E-12,8.6200919353498686E-12
RungeKutta4,1.2400000000000009,0.66927841589915871,0.66927841590491688,5.7581717172183744E-12,8.6035520949565005E-12
RungeKutta4,1.2500000000000009,0.66808146911812893,0.66808146912386557,5.7366333905406464E-12,8.5867273015565493E-12
RungeKutta4,1.2600000000000009,0.66688908445346773,0.66688908445918282,5.7150950638629183E-12,8.5697834873794359E-12
RungeKutta4,1.2700000000000009,0.66570121387407089,0.66570121387976411,5.6932236702778027E-12,8.5522206533857646E-12
RungeKutta4,1.2800000000000009,0.66451781100999341,0.66451781101566454,5.6711302320877621E-12,8.5342035053481461E-12
RungeKutta4,1.2900000000000009,0.66333883107628688,0.66333883108193603,5.649147816200184E-12,8.5162326575006539E-12
RungeKutta4,1.3000000000000009,0.66216423080042075,0.66216423080604769,5.6269433557076809E-12,8.4978062751983157E-12
RungeKutta4,1.3100000000000009,0.66099396835311253,0.66099396835871715,5.6046278729127152E-12,8.4790907954528295E-12
RungeKutta4,1.320000000000001,0.65982800328240565,0.65982800328798807,5.5824234124202121E-12,8.4604220867402936E-12
RungeKutta4,1.330000000000001,0.6586662964508373,0.6586662964563974,5.5601079296252465E-12,8.4414641520074371E-12
RungeKutta4,1.340000000000001,0.6575088099755495,0.65750880998108707,5.5375704022253558E-12,8.4220474588489223E-12
RungeKutta4,1.350000000000001,0.65635550717120184,0.65635550717671687,5.5150328748254651E-12,8.4025087236556695E-12
RungeKutta4,1.360000000000001,0.65520635249555326,0.65520635250104586,5.492606369728037E-12,8.383017577298771E-12
RungeKutta4,1.370000000000001,0.6540613114975854,0.65406131150305558,5.4701798646306088E-12,8.3634053390280715E-12
RungeKutta4,1.380000000000001,0.65292035076804622,0.65292035077349397,5.4477533595331806E-12,8.3436721693922613E-12
RungeKutta4,1.390000000000001,0.65178343789229953,0.65178343789772475,5.42521583213329E-12,8.323647881690652E-12
RungeKutta4,1.400000000000001,0.6506505414053716,0.65065054141077427,5.4026783047333993E-12,8.3035023579076613E-12
RungeKutta4,1.410000000000001,0.6495216307490902,0.64952163075447045,5.3802517996359711E-12,8.2834066564202833E-12
RungeKutta4,1.420000000000001,0.64839667623121744,0.64839667623657538,5.3579363168410055E-12,8.2633617864666106E-12
RungeKutta4,1.430000000000001,0.64727564898648304,0.64727564899181844,5.3353987894411148E-12,8.2428541808970992E-12
RungeKutta4,1.4400000000000011,0.64615852093942772,0.6461585209447408,5.3130833066461491E-12,8.2225694384121708E-12
RungeKutta4,1.4500000000000011,0.64504526476897217,0.64504526477426294,5.2907678238511835E-12,8.2021652011446233E-12
RungeKutta4,1.4600000000000011,0.64393585387463059,0.64393585387989893,5.2683413187537553E-12,8.1814691433216291E-12
RungeKutta4,1.4700000000000011,0.64283026234429119,0.64283026234953722,5.2460258359587897E-12,8.1608258715565716E-12
RungeKutta4,1.4800000000000011,0.64172846492349145,0.64172846492871538,5.2239323977687491E-12,8.1404093527183022E-12
RungeKutta4,1.4900000000000011,0.64063043698611677,0.6406304369913185,5.2017279372762459E-12,8.1197015267461814E-12
RungeKutta4,1.5000000000000011,0.63953615450645762,0.63953615451163737,5.1797455213886678E-12,8.0992223580947927E-12
RungeKutta4,1.5100000000000011,0.63844559403256063,0.63844559403771839,5.1577631055010897E-12,8.0786258903026349E-12
RungeKutta4,1.5200000000000011,0.63735873266081389,0.63735873266594956,5.1356696673110491E-12,8.0577379804163152E-12
RungeKutta4,1.5300000000000011,0.63627554801170927,0.63627554801682318,5.1139092960283961E-12,8.0372557330056094E-12
RungeKutta4,1.5400000000000011,0.63519601820672644,0.6351960182118187,5.0922599470482055E-12,8.0168322865508175E-12
RungeKutta4,1.5500000000000012,0.63412012184628763,0.63412012185135802,5.0703885534630899E-12,7.9959433217483755E-12
RungeKutta4,1.5600000000000012,0.63304783798873199,0.63304783799378084,5.0488502267853619E-12,7.9754639757181033E-12
RungeKutta4,1.5700000000000012,0.63197914613026385,0.63197914613529116,5.0273119001076338E-12,7.9548699207733058E-12
RungeKutta4,1.5800000000000012,0.63091402618582859,0.63091402619083459,5.0059956180348308E-12,7.9345131194790901E-12
RungeKutta4,1.5900000000000012,0.62985245847087445,0.62985245847585913,4.9846793359620278E-12,7.914042834830864E-12
